	target_text	input_text	prefix
113	Has anyone with age spots used this and noticed a difference? Thanks!	Intense Defense with Vitamin C Renewal CreamThis product replaces Vitamin C Renewal Cream. The antioxidant-intensive formula in the bottle remains unchanged. The antioxidant-intensive formula in the jar remains unchanged.RENEWAL CREAM is a rich, emollient moisturizer that encourages collagen and elastin production to strengthen skin's underlying support structure so the surface feels soft and resilient and signs of aging fade.StandardsCertified by QAI to NSF/ANSI 305, the American National Standard for personal care products containing organic ingredientsContains 70% organic content100% vegetarian ingredients<br>Directions Applying to freshly cleansed face and neck completes an antioxidant-intensive regimen. Maximize results by using at night while skin undergoes its natural renewal cycle. Intense Defense Sheer Moisture SPF 10 is recommended if sun exposure is expected.<br>Other Ingredients: Aloe Barbadensis Leaf Juice(1), Aqua (Water), Caprylic/Capric Triglyceride, Helianthus Annuus (Sunflower) Seed Oil(1), Glycerin, Glyceryl Stearate, Myristyl Myristate, Glyceryl Stearate Citrate, Cetyl Alcohol, Stearyl Alcohol, Butyrospermum Parkii (Shea) Butter(1), Borago Officinalis Seed Oil(1), Linum Usitatissimum (Linseed) Seed Oil(1), Prunus Amygdalus Dulcis (Sweet Almond) Oil(1), Rosa Canina Fruit Oil(1), Arnica Montana Flower Extract(1), Calendula Officinalis Flower Extract(1), Camellia Sinensis Leaf Extract (White Tea)(1), Chamomilla Recutita (Matricaria) Flower Extract(1), Citrus Limon (Lemon) Peel Extract (Lemon Bioflavonoids), Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract(1), Olea Europaea (Olive) Leaf Extract(1), Saccharomyces/Xylinum/Black Tea Ferment(1), Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Limon (Lemon) Peel Oil, Ascorbic Acid, Polyglyceryl-6 Distearate, Squalane, Tocopheryl Acetate, Xanthan Gum, Alcohol(1), Glyceryl Ca	ask_question
67	is ths the biggest bottle?	Unforgivable cologne by Sean John is a visceral fragrance that blends chemistry and emotion. It stimulates the senses in ways never imagined and is a rare blend of pure, uncontained, and unrestrained emotion. Its essence is inspired by a life lived and savored to the fullest. It's sleek, smooth blend reinvents masculine style with classic luxury. The Unforgivable man is distinctive with a driving passion. Unforgivable cologne fuses cashmere accord with rum and amber, achieving a peak that is both sexy and seductive. A breathtaking fragrance that says, sexy, rich, unique, and passionate, with a soul that is slightly dangerous and explosive, yet cool. Notes include Sicilian Lemon, Italian Bergamot, Green Mandarin, Moroccan Tangerine, Grapefruit, Juniper Leaves, Birch Leaves, Champagne Accord, Mediterranean Air Accord, Tuscan Basil, Florentine Iris, Clay Sage, Lavender, Cashmere Accord, Australian Sandalwood, Amber, Tonka Bean, Rum.	ask_question
118	Oatmeal and shea butter soap is beneficial for anyone with oily or acne-prone skin ?	"<B>Organic Oatmeal with Shea Butter Bar-- Helps relieve acne, oily skin - other skin problems</B> <P> This soap contains ground and whole<b> ""organic oatmeal""</b> which serves as a great exfoliant, The oatmeal naturally exfoliates your skin, with the addition of shea butter and Brazilian hazel nut oil this soap is not only alluring on your nose , it will leave you feeling refreshed and silky soft. A Natural Skin and Body Rejuvenating and Cleansing Oatmeal and Hazelnut Soap. Lovingly Handmade with Natural- Organic Ingredients in a Richly Lathering Cold Process. Makes a Perfect Spa, Bath and Shower Aromatherapy Relaxation Stress Reducing Oatmeal and Hazelnut Blend Soap Bar. <B>Contains NO Phthalates NO Parabens NO Sulfates NO Triclosan.</B> All these ingredients can be harmful, Some ingredients can actually strip off all the natural oils from your skin leaving it dry and itchy. Ever wonder why some some commercial ""soaps"" are called ""beauty bars"" or ""cleansing bars"" instead of soap? That\'s because they are NOT soap. In fact, their chemical makeup is closer to industrial degreasers than soap. Our soaps at Natural Handcrafted Soap Company are NOT made with any of these harmful substances. We use ingredients like Organic Coconut Oil, Lanolin, Greek Olive oil from our friends olive farm ( Organic) in Greece, sustainable Palm oil and more . Therapeutic grade essential oils, and pure distilled water in our soaps - You can see a list of our current oatmeal soap at https://www.amazon.com/handmade/naturalhandcraftedsoapcompany"	ask_question
224	What are the different types of brushes? Like can u go down the line and label each brush? im not exactly sure	Color:Gold<br>Big eyes and long eyelashes are important parts in a beautiful look. Many girls have to apply thick mascara or stick false eyelashes for longer eyelashes, do you have the same trouble as them?<br>-False eyelashes: glues are harmful to the eyelids and may cause pore necrosis.<br>-Mascara: remover is difficult and may make eyelashes / eyebrows fragile and easier to break.<br>-Eyelashes extension / tattoo eyebrows: high cost and may do harm to the original eyelashes / eyebrows.<br><br>Now, stop hurting your eyelashes / eyebrows. Let the Fiery Youth eyelash growth serum give you 100% REAL and HEALTHY eyelashes.<br><br>FUNCTIONS<br>-Protect eyelashes: Prevent damage caused by the external environment, strong eyelashes / eyebrow roots to prevent shedding.<br>-Deeply energize hair follicles: Repair hair follicles caused by sticky false eyelashes, grafted eyelashes and tattoos.<br>-Consolidate the skin base: Soften and purify the base skin around the eyelashes/eyebrows and improve the eyelash base environment.<br>-Nourishing and moisturizing:Provide sufficient nourishment for eyelashes/eyebrows to accelerate the growth of eyelashes/eyebrows.<br>-Gentle and non-irritating: Contain a variety of natural plant extracts, mild, safe, non- irritating.<br><br>INSTRUCTIONS<br>Apply it 1-2 times a day. After cleansing your face, apply the eyelash growth liquid evenly to the base of upper and lower eyelashes, or the eyebrows.<br><br>GREAT RESULTS <br>After using it regularly, users will notice a 20% increase in the thickness and length of eyelashes after 4-6 weeks, and a 50% increase after 60 days.<br><br>GUARANTEE<br>A small portion of users may not respond to the formula. If you are not satisfied after using this product uninterruptedly for 60 days as recommended, feel free to contact us for 100% REFUND. There is literally no risk for you, so don't hesitate to try our eyelash serum.	ask_question
148	how flexible is this hand? I want one to model sign language	The Diane Practice Hand is perfect for students and professional nail technicians. Great for practicing all types of nail applications. Accomodates acrylic applications.	ask_question
109	Is this product fragrance free or does it have a strong aroma?	Intense Defense with Vitamin C Renewal CreamThis product replaces Vitamin C Renewal Cream. The antioxidant-intensive formula in the bottle remains unchanged. The antioxidant-intensive formula in the jar remains unchanged.RENEWAL CREAM is a rich, emollient moisturizer that encourages collagen and elastin production to strengthen skin's underlying support structure so the surface feels soft and resilient and signs of aging fade.StandardsCertified by QAI to NSF/ANSI 305, the American National Standard for personal care products containing organic ingredientsContains 70% organic content100% vegetarian ingredients<br>Directions Applying to freshly cleansed face and neck completes an antioxidant-intensive regimen. Maximize results by using at night while skin undergoes its natural renewal cycle. Intense Defense Sheer Moisture SPF 10 is recommended if sun exposure is expected.<br>Other Ingredients: Aloe Barbadensis Leaf Juice(1), Aqua (Water), Caprylic/Capric Triglyceride, Helianthus Annuus (Sunflower) Seed Oil(1), Glycerin, Glyceryl Stearate, Myristyl Myristate, Glyceryl Stearate Citrate, Cetyl Alcohol, Stearyl Alcohol, Butyrospermum Parkii (Shea) Butter(1), Borago Officinalis Seed Oil(1), Linum Usitatissimum (Linseed) Seed Oil(1), Prunus Amygdalus Dulcis (Sweet Almond) Oil(1), Rosa Canina Fruit Oil(1), Arnica Montana Flower Extract(1), Calendula Officinalis Flower Extract(1), Camellia Sinensis Leaf Extract (White Tea)(1), Chamomilla Recutita (Matricaria) Flower Extract(1), Citrus Limon (Lemon) Peel Extract (Lemon Bioflavonoids), Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract(1), Olea Europaea (Olive) Leaf Extract(1), Saccharomyces/Xylinum/Black Tea Ferment(1), Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Limon (Lemon) Peel Oil, Ascorbic Acid, Polyglyceryl-6 Distearate, Squalane, Tocopheryl Acetate, Xanthan Gum, Alcohol(1), Glyceryl Ca	ask_question
123	Can u curl or iron the hair or will it burn?	Mannikin head is the best way to practice hair styling and salon procedures. Realistic sized head that's excellent for training purposes and withstand repeated use.	ask_question
144	Is this bulb capable of dimming?	The Jerdon JPT25W 25-Watt Light Bulbs Replacement Pack is ideal for replacing existing bulbs that have grown old and burnt out. These 25-watt incandescent bulbs are specifically designed for lighted mirrors. These bulbs are a quick fix for your mirror in need and come in a 2-pack. The Jerdon JPT25W 25-Watt Light Bulbs Replacement Pack come with a 1-year limited warranty that protects against any defects due to faulty material or workmanship. The Jerdon Style company has earned a reputation for excellence in the beauty industry with its broad range of quality cosmetic mirrors (including vanity, lighted and wall mount mirrors), hair dryers and other styling appliances. Since 1977, the Jerdon brand has been a leading provider to the finest homes, hotels, resorts, cruise ships and spas worldwide. The company continues to build its position in the market by both improving its existing line with the latest technology, developing new products and expanding its offerings to meet the growing needs of its customers.	ask_question
97	Is the barrel made of plastic or metal?	"HELEN OF TROY Professional Tangle-Free Hot Air Brush Iron with removable, vented rotating barrel. Dual heat settings. 3/4"" A blow dryer and styling brush in one! Style and dry without annoying tangles! Features Soft-Grip textured handle and 8-ft. tangle-proof swivel cord. Soft, ball-tipped bristles gently grip hair, rest softly against the head', '', '"	ask_question
195	What material is the cap made of? Is it a polyester or a silk? Satin refers to how the fabric is weaved - not the material.Thanks	Black sleeping cap. Satin material with comfortable elastic band.	ask_question
104	I've never used any but the standard curling iron with a grip to hold the hair in place. Do I begin rolling hair from the scalp or the tip?	"HELEN OF TROY Professional Tangle-Free Hot Air Brush Iron with removable, vented rotating barrel. Dual heat settings. 3/4"" A blow dryer and styling brush in one! Style and dry without annoying tangles! Features Soft-Grip textured handle and 8-ft. tangle-proof swivel cord. Soft, ball-tipped bristles gently grip hair, rest softly against the head', '', '"	ask_question
36	I didn't major in math but, doesn't $2.45 per ounce x 3.3 ounces = $8.09 rater than $39.37?	Introduced in 1989. Fragrance notes are red roses and orchids blend with other exotic flowers honey and spice, very sensual. Recommended use for romantic wear.	ask_question
28	is this 50 mil or 100?		ask_question
70	Is this the original Sean John fragrance? That's the one I'm trying to find and I know there have been others.	Unforgivable cologne by Sean John is a visceral fragrance that blends chemistry and emotion. It stimulates the senses in ways never imagined and is a rare blend of pure, uncontained, and unrestrained emotion. Its essence is inspired by a life lived and savored to the fullest. It's sleek, smooth blend reinvents masculine style with classic luxury. The Unforgivable man is distinctive with a driving passion. Unforgivable cologne fuses cashmere accord with rum and amber, achieving a peak that is both sexy and seductive. A breathtaking fragrance that says, sexy, rich, unique, and passionate, with a soul that is slightly dangerous and explosive, yet cool. Notes include Sicilian Lemon, Italian Bergamot, Green Mandarin, Moroccan Tangerine, Grapefruit, Juniper Leaves, Birch Leaves, Champagne Accord, Mediterranean Air Accord, Tuscan Basil, Florentine Iris, Clay Sage, Lavender, Cashmere Accord, Australian Sandalwood, Amber, Tonka Bean, Rum.	ask_question
65	I am male 64 yo. While visiting my dermatologist for something else, I asked which one of those expensive creams on the market are best to empty pores and reduce wrinkles. He said there was only one solution: RX for RetinA at night; Hydroxy alpha 12%...	<b> Renew Your Skin with Anti-Wrinkle Souffle </b><br>', 'Now you can enjoy velvety soft skin by using Alpha Hydrox 12% Glycolic AHA Souffle. It can reduce fine lines and wrinkles and therefore soften and restore your skin. It contains 12% Glycolic AHA to make your skin more radiant, offer improved texture and elasticity.	ask_question
63	Is this the same product as the one on this page? http://www.amazon.com/Alpha-Hydrox-So...	<b> Renew Your Skin with Anti-Wrinkle Souffle </b><br>', 'Now you can enjoy velvety soft skin by using Alpha Hydrox 12% Glycolic AHA Souffle. It can reduce fine lines and wrinkles and therefore soften and restore your skin. It contains 12% Glycolic AHA to make your skin more radiant, offer improved texture and elasticity.	ask_question
43	Is this battery operated or does it have a cord?	', '<strong>GiGi Mini Pro Hair Removal Waxing Kit</strong> is the ideal starter kit for the beginners in hair waxing or the price conscious professional. This kit contains all the necessary waxing essentials for a complete professional service. When you are ready to expand your salon menu to include profitable waxing services, <strong>GiGi Mini Pro Hair Removal Waxing Kit</strong> is the perfect choice.', '<strong>GiGi Mini Pro Hair Removal Waxing Kit includes:</strong>	ask_question
280	Is this made out of glass?		ask_question
189	how wide its it?		ask_question
120	Natural Soap: Is there a natural soap product on the market for hair growth?	Sea Kelp and Moss with Chamomile Herb and Organic Cocoa Butter Soap Sea Kelp is rich in nutrients and, is an excellent stimulant and exfoliate. The seaside scent in this natural beauty facial and body soap coupled with the invigorating hint of cocoa butter will make you feel like you are relaxing by the ocean. This Sea Kelp soap is rich in skin-nourishing . *Sea Kelp is rich in nutrients and, is an excellent stimulant and exfoliant. Sea herbs have been known to heal, hydrate, detoxify and re-mineralize the skin. Their amino acids, and slippery texture, act as a conditioner to the skin as well. Sea kelp gently polishes the skin, while the unrefined cocoa butter moisturizes . We also added chamomile herbs to stimulant exfoliating. This soap is amazingly refreshing in every shower. If you don't already know, the legendary Creme de la Mer was created by physicist Dr. Max Huber who had suffered burns in a lab accident. As his personal mission to help his burn scars and transform his skin, Huber created many products sea kelp is one of the key ingredients in the La Mer products. You can see a list of our current soaps at https://www.amazon.com/handmade/naturalhandcraftedsoapcompany	ask_question
133	can I use this to keep a low cut dress from moving	Toss the tape and move without worry. Bell-Horn It Stays Roll-On Body Adhesive can be used in numerous industries such as medical, athletics, theater and fashion. Providing extra level of support, It Stays Roll-On Body Adhesive is excellent to keep surgical stockings, anti-embolism stockings, orthopedic supports and elastic/neoprene wraps securely in place. Athletes can use It Stays Roll-On Body Adhesive to secure shin guards, knee pads, elbow pads, shoulder pads or socks so they can focus on their sport. It can even be used for fashion garments or theatrical accessories. Use on strapless bras, bridal gowns, low-cut dresses, costume wigs or beards with ease! Easy to use, simply roll on where desired application is needed. When finished, simply wash with water.	ask_question
75	Is it sold in a small glass bottle?	A classic since 1935, Jean Nate's silkening body powder will leave you feel silky smooth and soft throughout the day.	ask_question
255	How many tattoo can you get out of 12 pack set? I need to know how many packs to buy. I am using it for a school event		ask_question
45	I can't find the information in each product, can you specify each product that comes in this kit and its weight?	', '<strong>GiGi Mini Pro Hair Removal Waxing Kit</strong> is the ideal starter kit for the beginners in hair waxing or the price conscious professional. This kit contains all the necessary waxing essentials for a complete professional service. When you are ready to expand your salon menu to include profitable waxing services, <strong>GiGi Mini Pro Hair Removal Waxing Kit</strong> is the perfect choice.', '<strong>GiGi Mini Pro Hair Removal Waxing Kit includes:</strong>	ask_question
93	Would you recommend this drill for long-term professional use for a novice nail technician?	Medicool Pro Power 30K is a professional quality manicure and pedicure file machine designed specifically for the demanding, professional nail technician. It's powerful, lightweight and has the capability of completing any manicure or pedicure service	ask_question
301	How can we get an ingredients list for this product?		ask_question
22	So the Eau De Toilette is weaker than the regular Pour Homie?		ask_question
282	Where is this made?		ask_question
96	States it is a rotating brush - sounds stupid but does the brush itself rotate?	"HELEN OF TROY Professional Tangle-Free Hot Air Brush Iron with removable, vented rotating barrel. Dual heat settings. 3/4"" A blow dryer and styling brush in one! Style and dry without annoying tangles! Features Soft-Grip textured handle and 8-ft. tangle-proof swivel cord. Soft, ball-tipped bristles gently grip hair, rest softly against the head', '', '"	ask_question
298	What frequency is the ultrasound function? Is it 1 MHz?		ask_question
72	How do I get the powder out of the paper package? Do I just rip it open and pour into the yellow plastic container?	A classic since 1935, Jean Nate's silkening body powder will leave you feel silky smooth and soft throughout the day.	ask_question
268	I'm thinking about purchasing this item but worry about that I'll spray too much on my part. Is there a comb that comes with it to pull the hair away from the scalp? What is the best technique to use with this product?	STYLE EDIT by Style Edit CONCEAL YOUR GRAYS-MEDIUM/LIGHT BROWN 2 OZ	ask_question
87	does it come with the DVD?	Medicool Pro Power 30K is a professional quality manicure and pedicure file machine designed specifically for the demanding, professional nail technician. It's powerful, lightweight and has the capability of completing any manicure or pedicure service	ask_question
25	Does it come wrapped in cellophane? You know, is it a sealed box?		ask_question
319	how many drawer dividers comes with this product?		ask_question
152	Are the fingers spread enough that in the v sections they do not touch for about 1/2 inch up inside the v sections? Wanting to use this for a glove.	The Diane Practice Hand is perfect for students and professional nail technicians. Great for practicing all types of nail applications. Accomodates acrylic applications.	ask_question
146	are these bulbs same as 120V AC 60HZ 12 AMPS	The Jerdon JPT25W 25-Watt Light Bulbs Replacement Pack is ideal for replacing existing bulbs that have grown old and burnt out. These 25-watt incandescent bulbs are specifically designed for lighted mirrors. These bulbs are a quick fix for your mirror in need and come in a 2-pack. The Jerdon JPT25W 25-Watt Light Bulbs Replacement Pack come with a 1-year limited warranty that protects against any defects due to faulty material or workmanship. The Jerdon Style company has earned a reputation for excellence in the beauty industry with its broad range of quality cosmetic mirrors (including vanity, lighted and wall mount mirrors), hair dryers and other styling appliances. Since 1977, the Jerdon brand has been a leading provider to the finest homes, hotels, resorts, cruise ships and spas worldwide. The company continues to build its position in the market by both improving its existing line with the latest technology, developing new products and expanding its offerings to meet the growing needs of its customers.	ask_question
249	should i keep this in refrigerator after the first use ?		ask_question
21	is this a round tall bottle?		ask_question
17	Can I drink it?	Water-Rosewater Heritage Store 8 oz Liquid	ask_question
26	Is this the real perfume or a generic?		ask_question
208	Price: Is it $90 per bundle?	"Unprocessed 100% Virgin Brazilian Human Hair Guaranteed / 100 grams / 1 pack Hair wavy or straight /with cuticles 16"" Black 1b can be colorized to your liking. We test hair strands of our unprocessed hair to make sure that takes color because if it does not its a good chance that it contains synthetic fibers or its been processed. Thanks for your interest in Zayn products."	ask_question
53	What are the main differences between this red clay and the european clay?	100% Pure Facial Detox/Sensitive Skin Types Condition: Sensitive Skin in need of detoxification to remove impurities and in need of a smaller pore size and tighter skin tone. Solution: Moroccan Red Clay is an all-natural powder clay that is highly absorbent and mixes easily with water and other moisturizing products. It serves as an excellent facial cleanser and purifying masque, especially for individuals with sensitive skin.	ask_question
218	Still confused - is this nano? or non-nano? The answers had me confused. Somebody please answer! I thought micronized meant it was nano particular		ask_question
271	Should I use/try the Barbary Fig Oil since I am over 60 years old?	Over 1 million bottles sold in more than 35 countries, Poppy Austin 100% Pure Organic Argan Oil is one of the most talked about and sought-after brands in the USA. An exquisite, luxurious and triple purified Moroccan argan oil. Made by hand, cold pressed and responsibly sourced using the only the very finest yet sustainable organic argan nuts. See immediate results from this extremely lightweight, delicate, and quick to absorb natural oil. Free from parabens, fillers, artificial colors and fragrances. Creates naturally soft, luminous and manageable hair with one application - Hydrates frizzy and problematic hair, making it easier to style and manage - Nourishes, restores, and strengthens over-processed, damaged, and brittle hair - 100% organic moisturiser for all skin types, including dry, rough and sensitive skin - Packed with skin-loving Vitamin E, essential fatty acids and natural antioxidants - Can be used to tackle problem areas such as psoriasis, eczema and stretch marks. Batch: December 2018, A Poppy Austin original product. Dispatched and sent directly by Amazon from a local Amazon warehouse.	ask_question
76	I bought the 30 oz in 2013 for $70.00 now it is $183.00 Why? And why did Revlon stop making this product when so many women love it?	A classic since 1935, Jean Nate's silkening body powder will leave you feel silky smooth and soft throughout the day.	ask_question
306	Please post the INCI of this product including the ratio or stearic to cetyl alcohols.		ask_question
206	can this hair be dyed ?	"Unprocessed 100% Virgin Brazilian Human Hair Guaranteed / 100 grams / 1 pack Hair wavy or straight /with cuticles 16"" Black 1b can be colorized to your liking. We test hair strands of our unprocessed hair to make sure that takes color because if it does not its a good chance that it contains synthetic fibers or its been processed. Thanks for your interest in Zayn products."	ask_question
47	Is this an 8 or 14 ounce warmer?	', '<strong>GiGi Mini Pro Hair Removal Waxing Kit</strong> is the ideal starter kit for the beginners in hair waxing or the price conscious professional. This kit contains all the necessary waxing essentials for a complete professional service. When you are ready to expand your salon menu to include profitable waxing services, <strong>GiGi Mini Pro Hair Removal Waxing Kit</strong> is the perfect choice.', '<strong>GiGi Mini Pro Hair Removal Waxing Kit includes:</strong>	ask_question
50	can i use the red clay powder for homemade cp soap/	100% Pure Facial Detox/Sensitive Skin Types Condition: Sensitive Skin in need of detoxification to remove impurities and in need of a smaller pore size and tighter skin tone. Solution: Moroccan Red Clay is an all-natural powder clay that is highly absorbent and mixes easily with water and other moisturizing products. It serves as an excellent facial cleanser and purifying masque, especially for individuals with sensitive skin.	ask_question
51	is this rhassoul clay?	100% Pure Facial Detox/Sensitive Skin Types Condition: Sensitive Skin in need of detoxification to remove impurities and in need of a smaller pore size and tighter skin tone. Solution: Moroccan Red Clay is an all-natural powder clay that is highly absorbent and mixes easily with water and other moisturizing products. It serves as an excellent facial cleanser and purifying masque, especially for individuals with sensitive skin.	ask_question
190	can you tell me the diameter please?		ask_question
315	My nose piercing is 16g, would these fit me?	<br>Package Include: <br>40PCS Fashion Surgical Stainless Steel Nose Lip Bar Stud Ring Body Piercing	ask_question
194	i'm planning on using argan or some type of oil to mosturize my hair and use it as a mask overnight will this cap protect my bed from leaking oil?	Black sleeping cap. Satin material with comfortable elastic band.	ask_question
276	"On the bottle it says "" Avoid contact with naked flames?"" Can you please explain this statement in regards to hair oil."	Over 1 million bottles sold in more than 35 countries, Poppy Austin 100% Pure Organic Argan Oil is one of the most talked about and sought-after brands in the USA. An exquisite, luxurious and triple purified Moroccan argan oil. Made by hand, cold pressed and responsibly sourced using the only the very finest yet sustainable organic argan nuts. See immediate results from this extremely lightweight, delicate, and quick to absorb natural oil. Free from parabens, fillers, artificial colors and fragrances. Creates naturally soft, luminous and manageable hair with one application - Hydrates frizzy and problematic hair, making it easier to style and manage - Nourishes, restores, and strengthens over-processed, damaged, and brittle hair - 100% organic moisturiser for all skin types, including dry, rough and sensitive skin - Packed with skin-loving Vitamin E, essential fatty acids and natural antioxidants - Can be used to tackle problem areas such as psoriasis, eczema and stretch marks. Batch: December 2018, A Poppy Austin original product. Dispatched and sent directly by Amazon from a local Amazon warehouse.	ask_question
12	Does this version come with the atomizer so that it can be sprayed easily?	Water-Rosewater Heritage Store 8 oz Liquid	ask_question
294	What are the wavelengths for the red, blue, and green lights?		ask_question
320	What is the inside dimension of each drawer?		ask_question
239	I do not know how to use the product	Nature's boost for fine hair, our style-prep infuses all-day weightless volume that feels naturally yours.	ask_question
57	Hi! If you have a tendency to breakout is this okay?Is it better to use the 10% lotion rather than12&#x2105;souffle?I have lines&amp;acne:((Advice appreciated.	<b> Renew Your Skin with Anti-Wrinkle Souffle </b><br>', 'Now you can enjoy velvety soft skin by using Alpha Hydrox 12% Glycolic AHA Souffle. It can reduce fine lines and wrinkles and therefore soften and restore your skin. It contains 12% Glycolic AHA to make your skin more radiant, offer improved texture and elasticity.	ask_question
251	Is it gluten free, corn free, or soy free?		ask_question
277	Is this product tested on animals?	Over 1 million bottles sold in more than 35 countries, Poppy Austin 100% Pure Organic Argan Oil is one of the most talked about and sought-after brands in the USA. An exquisite, luxurious and triple purified Moroccan argan oil. Made by hand, cold pressed and responsibly sourced using the only the very finest yet sustainable organic argan nuts. See immediate results from this extremely lightweight, delicate, and quick to absorb natural oil. Free from parabens, fillers, artificial colors and fragrances. Creates naturally soft, luminous and manageable hair with one application - Hydrates frizzy and problematic hair, making it easier to style and manage - Nourishes, restores, and strengthens over-processed, damaged, and brittle hair - 100% organic moisturiser for all skin types, including dry, rough and sensitive skin - Packed with skin-loving Vitamin E, essential fatty acids and natural antioxidants - Can be used to tackle problem areas such as psoriasis, eczema and stretch marks. Batch: December 2018, A Poppy Austin original product. Dispatched and sent directly by Amazon from a local Amazon warehouse.	ask_question
149	I am looking to sew this to fabric for a funny costume; do you think it would be possible to thread a needle through the plastic? or too thick?	The Diane Practice Hand is perfect for students and professional nail technicians. Great for practicing all types of nail applications. Accomodates acrylic applications.	ask_question
263	Where can I get an ingredient list?	STYLE EDIT by Style Edit CONCEAL YOUR GRAYS-MEDIUM/LIGHT BROWN 2 OZ	ask_question
137	Can u put it inside the self adhesive bra for extra hold	Toss the tape and move without worry. Bell-Horn It Stays Roll-On Body Adhesive can be used in numerous industries such as medical, athletics, theater and fashion. Providing extra level of support, It Stays Roll-On Body Adhesive is excellent to keep surgical stockings, anti-embolism stockings, orthopedic supports and elastic/neoprene wraps securely in place. Athletes can use It Stays Roll-On Body Adhesive to secure shin guards, knee pads, elbow pads, shoulder pads or socks so they can focus on their sport. It can even be used for fashion garments or theatrical accessories. Use on strapless bras, bridal gowns, low-cut dresses, costume wigs or beards with ease! Easy to use, simply roll on where desired application is needed. When finished, simply wash with water.	ask_question
124	can you apply heat to the hair	Mannikin head is the best way to practice hair styling and salon procedures. Realistic sized head that's excellent for training purposes and withstand repeated use.	ask_question
92	Some mixed reviews here about the voltage. Is it 110v only? Or both 110 &amp;220v (can be used in Europe)	Medicool Pro Power 30K is a professional quality manicure and pedicure file machine designed specifically for the demanding, professional nail technician. It's powerful, lightweight and has the capability of completing any manicure or pedicure service	ask_question
86	well? is this now made in china? I've used this for years and can't find it in the stores.	COTY AIRSPUN LOOSE POWDER-TRANSLUCENT	ask_question
267	"I have tried ""spray"" colors before that left circles of color at my hairline. Does this product have a gentle spray? Can you use it at the hairline?"	STYLE EDIT by Style Edit CONCEAL YOUR GRAYS-MEDIUM/LIGHT BROWN 2 OZ	ask_question
174	Would these fit on a man's large hands?	Soothes and nourishes skin and nails while replenishing the natural moisture balance in hands. Helps relieve the pain of arthritis and other painful conditions.	ask_question
201	Is it suitable for oily hairs?	Natural Shampoo with Kukui Nut Oil. Natural Lavender Scent.	ask_question
80	What are the ends of the curler like? - I got some at a discount store and they have white plastic ends that come out and get tangled in your hair.	"Zippered carry case includes: 2 packs of purple (7/8""), 2 packs of grey ( 3/4""), 2 packs of orange ( 5/8""), 1 pack of blue ( 1/2""), 1 pack of red ( 7/16""), 1 pack of yellow ( 3/8""), 1 pack of green ( 1/4"")."	ask_question
221	Any propylene glycol, parabens, or preservatives?	Optimised Energetics are committed to offering the finest quality Colloidal Silver products with the greatest choice and value anywhere. We use medical grade equipment in our production process which ensures a well regulated and consistent ionic and colloidal solution. We have the widest range of formulations with 10, 20 and True 80% Colloidal Silver Solutions. We also produce our own effective, non sticky and soothing Balms and Salves. All contain our best colloidal silver and some also include moisturising organic coconut oil and essential, calming Bergamot oil. Try our Enhanced Colloidal Silver as an alternative treatment for a wide range of viral, fungal or bacterial conditions.	ask_question
116	Does this work for acne and or acne scars? I have some acne but most of it is acne scars.	"<B>Organic Oatmeal with Shea Butter Bar-- Helps relieve acne, oily skin - other skin problems</B> <P> This soap contains ground and whole<b> ""organic oatmeal""</b> which serves as a great exfoliant, The oatmeal naturally exfoliates your skin, with the addition of shea butter and Brazilian hazel nut oil this soap is not only alluring on your nose , it will leave you feeling refreshed and silky soft. A Natural Skin and Body Rejuvenating and Cleansing Oatmeal and Hazelnut Soap. Lovingly Handmade with Natural- Organic Ingredients in a Richly Lathering Cold Process. Makes a Perfect Spa, Bath and Shower Aromatherapy Relaxation Stress Reducing Oatmeal and Hazelnut Blend Soap Bar. <B>Contains NO Phthalates NO Parabens NO Sulfates NO Triclosan.</B> All these ingredients can be harmful, Some ingredients can actually strip off all the natural oils from your skin leaving it dry and itchy. Ever wonder why some some commercial ""soaps"" are called ""beauty bars"" or ""cleansing bars"" instead of soap? That\'s because they are NOT soap. In fact, their chemical makeup is closer to industrial degreasers than soap. Our soaps at Natural Handcrafted Soap Company are NOT made with any of these harmful substances. We use ingredients like Organic Coconut Oil, Lanolin, Greek Olive oil from our friends olive farm ( Organic) in Greece, sustainable Palm oil and more . Therapeutic grade essential oils, and pure distilled water in our soaps - You can see a list of our current oatmeal soap at https://www.amazon.com/handmade/naturalhandcraftedsoapcompany"	ask_question
197	"How do we know that the ingredient labeled ""coconut oil"" is not a cover for SLS or one of its relatives?"	Natural Shampoo with Kukui Nut Oil. Natural Lavender Scent.	ask_question
252	How many stencils does the set include		ask_question
1	do you need a prescription?	<P><B>CARMOL 20:<BR></B><UL><LI>20% Carbamide Cream.</LI><LI>Enhanced Moisturizer For Rough Dry Skin.</LI><LI>Nonlipid vanishing cream for rough, dry skin, especially on hands, elbows, and heels.</LI><LI>Hypoallergenic, nonocclusive.</LI><LI>Contains no parabens, lanolin or mineral oil.</LI></UL></P>	ask_question
